"","PlacetteID","rcp","Annee","Mois","Tmin","Tmax","PTot"
"150","400202303","RCP45",2003,6,21.09,7.94333,7.36
"151","400202303","RCP45",2003,7,20.6355,11.6194,9.71
"152","400202303","RCP45",2003,8,20.4968,10.9484,16.41
"153","400202303","RCP45",2003,9,18.7633,7.59333,5.63
"154","400202303","RCP45",2003,10,7.56129,0.283871,14.34
"155","400202303","RCP45",2003,11,1.29667,-5.50667,7.59
"156","400202303","RCP45",2003,12,-5.47097,-13.8548,13.76
"157","400202303","RCP45",2004,1,-15.5935,-24.4645,4.06
"158","400202303","RCP45",2004,2,-7.34138,-18.0103,4.67
"159","400202303","RCP45",2004,3,-1.07419,-12.9419,5.79
"160","400202303","RCP45",2004,4,3.80667,-5.1,6.76
"161","400202303","RCP45",2004,5,11.1097,0.864516,8.43
"162","400202303","RCP45",2004,6,16.8267,6.16333,12.53
"163","400202303","RCP45",2004,7,21.8258,11.8323,7.94
"164","400202303","RCP45",2004,8,19.8161,10.2871,7.6
"165","400202303","RCP45",2004,9,16.4333,5.80333,9.69
"166","400202303","RCP45",2004,10,9.67419,0.535484,6.84
"167","400202303","RCP45",2004,11,0.07,-6.23,6.75
"168","400202303","RCP45",2004,12,-8.51613,-18.9387,8.58
"169","400202303","RCP45",2005,1,-12.4516,-25.5129,2.3
"170","400202303","RCP45",2005,2,-6.14643,-17.3607,3.61
"171","400202303","RCP45",2005,3,-2.31613,-13.2968,3.11
"172","400202303","RCP45",2005,4,6.15667,-2.98333,9.48
"173","400202303","RCP45",2005,5,12.229,2.26774,6.96
"174","400202303","RCP45",2005,6,21.31,9.08333,11.98
"175","400202303","RCP45",2005,7,24.0194,10.8581,8.52
"176","400202303","RCP45",2005,8,21.4161,10.0097,15.77
"177","400202303","RCP45",2005,9,16.8067,7.09667,12.79
"178","400202303","RCP45",2005,10,9.40323,2.12581,9.72
"179","400202303","RCP45",2005,11,0.49,-6.12,10.35
