Strate;PlacetteID;Latitude;Longitude;Altitude;Sdom_Bio;Reg_Eco;Type_Eco;Cl_Drai;Espece;Etat;DHPcm;Nombre;Veg_Pot;origTreeID;PTot;TMoy;cec_015cm;sand_015cm;Pente;Exposition;Age_moy
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;PET;10;12;1;MS2;11;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;12;1;MS2;12;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;12;1;MS2;13;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;12;1;MS2;14;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;12;1;MS2;15;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;PET;10;12;1;MS2;16;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;PET;10;12;1;MS2;17;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;PET;10;10;1;MS2;18;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;PET;10;10;1;MS2;19;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;10;1;MS2;20;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;10;1;MS2;21;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;PET;10;10;1;MS2;22;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;10;1;MS2;23;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;10;1;MS2;24;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;10;1;MS2;25;1100;-0.100000001;5.099999905;71.40000153;17;143;50
Sapiniere30ans;400413001;47.932682;-70.624982;785;1;5c;MS25P;30;SAB;10;10;1;MS2;26;1100;-0.100000001;5.099999905;71.40000153;17;143;50
